Godina,Dan,Vrijeme,Predmet,Tip,Profesor,Učionica
3,Mon,10-12,Sustavi elektroničkog učenja,Vježbe,doc. dr. sc. Katarina Kostelić,108
3,Mon,14-16,Stručna praksa prijediplomski,Predavanje,doc. dr. sc. Ivan Lorencin,108
3,Tue,10-12,Web aplikacije,Predavanje,doc. dr. sc. Nikola Tanković,108
3,Wed,10-12,Sustavi elektroničkog učenja,Predavanje,izv. prof. dr. sc. Snježana Babić,108
3,Fri,14-16,Računovodstvo u virtualnom okruženju,Predavanje,prof. dr. sc. Robert Zenzerović,108
3,Mon,8-10,Operacijska istraživanja,Vježbe,doc. dr. sc. Katarina Kostelić,110
3,Mon,10-12,Web aplikacije,Vježbe,doc. dr. sc. Nikola Tanković,110
3,Mon,14-16,Upravljanje poslovnim procesima,Vježbe,mag. inf. Lorena Jeger,110
3,Mon,16-18,Praktikum,Predavanje,doc. dr. sc. Siniša Miličić,132
3,Mon,18-20,Upravljanje poslovnim procesima,Predavanje,izv. prof. dr. sc. Darko Etinger,132
3,Tue,8-10,Operacijska istraživanja,Predavanje,doc. dr. sc. Katarina Kostelić,132
3,Wed,8-10,Računovodstvo u virtualnom okruženju,Vježbe,prof. dr. sc. Robert Zenzerović,133
