Godina,Dan,Vrijeme,Predmet,Tip,Profesor,Učionica
4,Mon,8-10,Interakcija čovjeka i računala,Predavanje,izv. prof. dr. sc. Darko Etinger,108
4,Tue,14-16,Modeli računarstva,Predavanje,dr. sc. Darko Brborović,108
4,Tue,16-18,Raspodijeljeni sustavi,Predavanje,doc. dr. sc. Nikola Tanković,108
4,Tue,18-20,Mobilne aplikacije,Predavanje,izv. prof. dr. sc. Siniša Sovilj,108
4,Wed,8-10,Forenzičko računovodstvo,Predavanje,prof. dr. sc. Robert Zenzerović,108
4,Wed,14-16,Stručna praksa diplomski,Predavanje,doc. dr. sc. Ivan Lorencin,108
4,Thu,8-10,Blockchain aplikacije,Predavanje,doc. dr. sc. Nikola Tanković,108
4,Thu,10-12,Robotika,Predavanje,doc. dr. sc. Ivan Lorencin,108
4,Tue,10-12,IT management,Predavanje,izv. prof. dr. sc. Darko Etinger,109
4,Mon,16-18,Raspodijeljeni sustavi,Vježbe,doc. dr. sc. Nikola Tanković,110
4,Mon,18-20,Mobilne aplikacije,Vježbe,izv. prof. dr. sc. Siniša Sovilj,110
4,Mon,8-10,IT management,Vježbe,izv. prof. dr. sc. Snježana Babić,133
4,Mon,10-12,Robotika,Vježbe,doc. dr. sc. Ivan Lorencin,133
4,Mon,14-16,Modeli računarstva,Vježbe,dr. sc. Darko Brborović,133
4,Tue,8-10,Forenzičko računovodstvo,Vježbe,prof. dr. sc. Robert Zenzerović,133
